ID;Nama;Tempat;Rating_Code;Waktu;Ratings
101;Bayou A;Sari Park;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 years ago;5
101;Bayou A;Jawa Timur Park 3;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 years ago;5
102;Sulik S;Taman Hutan Raya Ir. H. Djuanda;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;4 years ago;1
102;Sulik S;White Crater;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;4 years ago;1
102;Sulik S;Malioboro Yogyakarta;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;4 years ago;5
102;Sulik S;Bromo Tengger Semeru National Park;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;4 years ago;5
102;Sulik S;Glamping Lakeside Rancabali;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;4 years ago;1
103;Bayu A;White Crater;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;4 months ago;5
103;Bayu A;Malioboro Yogyakarta;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;4 months ago;5
103;Bayu A;Sari Park;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;4 months ago;5
103;Bayu A;Glamping Lakeside Rancabali;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;4 months ago;5
103;Bayu A;Danau Lemona;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;4 months ago;5
104;Hisyam K;White Crater;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 years ago;5
104;Hisyam K;Darajat Crater;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 years ago;5
104;Hisyam K;Jawa Timur Park 2;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a year ago;5
104;Hisyam K;Dago Dreampark;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 years ago;5
104;Hisyam K;Kamojang Ecopark;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 years ago;5
105;Ghea;White Crater;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;5 years ago;1
105;Ghea;Payangan Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;4 years ago;5
105;Ghea;Tempo Gelato Prawirotaman;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;4 years ago;5
105;Ghea;Malioboro Yogyakarta;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;5 years ago;5
105;Ghea;Ubud;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;5 years ago;5
106;Andre Gerrit;White Crater;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a month ago;5
106;Andre Gerrit;Bidadari Waterfall;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 years ago;5
106;Andre Gerrit;Taman Mini Indonesia Indah;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;6 months ago;1
106;Andre Gerrit;Malioboro Yogyakarta;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;4 months ago;5
106;Andre Gerrit;Ancol Dreamland;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a year ago;5
106;Andre Gerrit;Glamping Lakeside Rancabali;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a month ago;5
107;Wiyana A;White Crater;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;4 years ago;5
107;Wiyana A;Sambolo Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;2 years ago;1
107;Wiyana A;Drini Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;4 years ago;5
107;Wiyana A;Virgin Beach, Karangasem, Bali;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 years ago;5
107;Wiyana A;Nangka Waterfall;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;4 years ago;5
107;Wiyana A;Cikaso Waterfall;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;5 years ago;5
107;Wiyana A;Arjuna Temple;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;4 years ago;5
107;Wiyana A;Ubud;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;2 years ago;1
107;Wiyana A;Curug Sodong;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;5 years ago;1
108;Vivera S;White Crater;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a month ago;5
108;Vivera S;Pasir Kencana Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;4 weeks ago;5
108;Vivera S;Sawarna Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 years ago;5
108;Vivera S;Tanjung Layar Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 years ago;5
108;Vivera S;Ranca Buaya Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 years ago;5
108;Vivera S;Canggu Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a month ago;5
108;Vivera S;Taman Hutan Raya Ir. H. Djuanda;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 years ago;5
108;Vivera S;Malioboro Yogyakarta;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 years ago;5
108;Vivera S;Prambanan Temple;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 years ago;5
108;Vivera S;Borobudur Temple;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;4 years ago;5
108;Vivera S;Ubud;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a month ago;5
108;Vivera S;Curug Cipanas;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;4 years ago;5
108;Vivera S;Curug Tilu Leuwi Opat;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;4 years ago;5
108;Vivera S;Sunrise Point Cukul;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 years ago;5
